"num","brand","female","age"
"1","1",0,24
"2","1",0,26
"3","1",0,26
"4","1",1,27
"5","1",1,27
"6","3",1,27
"7","1",0,27
"8","1",0,27
"9","1",1,27
"10","1",0,27
"11","1",0,27
"12","1",1,27
"13","2",1,28
"14","3",1,28
"15","1",1,28
"16","1",0,28
"17","1",0,28
"18","2",1,28
"19","1",0,28
"20","1",0,28
"21","1",1,28
"22","1",1,28
"23","3",0,28
"24","1",1,28
"25","3",0,28
"26","1",1,28
"27","1",1,28
"28","1",1,29
"29","1",1,29
"30","1",1,29
"31","2",1,29
"32","1",1,29
"33","2",1,29
"34","2",0,29
"35","2",1,29
"36","1",1,29
"37","1",0,29
"38","1",0,29
"39","1",0,29
"40","1",1,29
"41","2",1,29
"42","1",0,29
"43","1",0,29
"44","1",1,29
"45","1",0,29
"46","1",0,29
"47","2",1,30
"48","3",0,30
"49","3",1,30
"50","1",0,30
"51","3",1,30
"52","2",1,30
"53","1",0,30
"54","1",1,30
"55","1",1,30
"56","1",1,30
"57","1",1,30
"58","3",1,30
"59","1",1,30
"60","1",1,30
"61","2",1,30
"62","1",1,30
"63","2",0,30
"64","2",0,30
"65","2",1,30
"66","1",1,30
"67","1",1,30
"68","1",1,30
"69","1",0,30
"70","1",1,31
"71","1",0,31
"72","3",1,31
"73","2",1,31
"74","2",0,31
"75","2",1,31
"76","3",1,31
"77","1",0,31
"78","2",1,31
"79","2",1,31
"80","1",0,31
"81","1",0,31
"82","1",1,31
"83","2",0,31
"84","3",1,31
"85","3",0,31
"86","1",0,31
"87","1",1,31
"88","1",1,31
"89","3",0,31
"90","2",0,31
"91","1",0,31
"92","2",1,31
"93","1",1,31
"94","3",1,31
"95","1",0,31
"96","1",1,31
"97","2",1,31
"98","1",0,31
"99","3",1,31
"100","1",0,31
"101","2",1,31
"102","2",0,31
"103","1",0,31
"104","2",1,31
"105","1",1,31
"106","2",1,31
"107","2",0,31
"108","1",1,31
"109","1",1,31
"110","2",0,32
"111","2",1,32
"112","1",1,32
"113","2",0,32
"114","2",0,32
"115","2",1,32
"116","2",1,32
"117","1",1,32
"118","1",0,32
"119","2",1,32
"120","2",1,32
"121","3",1,32
"122","2",1,32
"123","2",0,32
"124","2",1,32
"125","1",1,32
"126","1",1,32
"127","1",1,32
"128","1",1,32
"129","3",1,32
"130","2",1,32
"131","1",1,32
"132","2",1,32
"133","1",1,32
"134","2",1,32
"135","2",0,32
"136","1",1,32
"137","3",1,32
"138","2",1,32
"139","3",1,32
"140","1",1,32
"141","2",1,32
"142","1",1,32
"143","1",0,32
"144","2",1,32
"145","2",0,32
"146","2",1,32
"147","3",1,32
"148","3",1,32
"149","2",1,32
"150","3",0,32
"151","1",0,32
"152","2",1,32
"153","1",1,32
"154","2",1,32
"155","2",1,32
"156","2",1,32
"157","2",1,32
"158","1",1,32
"159","1",0,32
"160","2",0,32
"161","2",0,32
"162","2",0,32
"163","1",1,32
"164","3",0,32
"165","2",0,32
"166","1",1,32
"167","3",1,32
"168","2",1,32
"169","1",1,32
"170","3",1,32
"171","1",1,32
"172","3",1,32
"173","1",0,32
"174","2",1,32
"175","2",1,32
"176","1",1,32
